variant,loss,params,best_val_acc,best_val_loss,train_time_sec,num_epochs,acc_Normal,acc_DoS,acc_DDoS,acc_PortScan/Recon,acc_Web/SQLi,acc_Malware/Botnet/Exploit
cnn_lstm,cross_entropy,367430,0.9722274702437181,0.7226791193101033,143.98887300491333,30,0.9897425583266292,0.8814229249011858,0.9644870349492672,0.9941176470588236,1.0,0.9662162162162162
cnn_lstm_attention,cross_entropy,367430,0.9726997921783488,0.7175974279231078,144.9707145690918,30,0.9897425583266292,0.8982213438735178,0.9554678692220969,0.9941176470588236,1.0,0.9662162162162162
cnn_bilstm,cross_entropy,811974,0.972133005856792,0.7169857798892024,182.90406584739685,30,0.9893403057119872,0.9209486166007905,0.947576099210823,0.9882352941176471,1.0,0.964527027027027
cnn_transformer,cross_entropy,345286,0.9678821084451162,0.7313695458525321,172.19013094902039,30,0.9869267900241352,0.8873517786561265,0.9565952649379932,0.9921568627450981,1.0,0.9408783783783784
